ID,text,Qatar Related,Geography,Politics & Conflict,Health & Wellbeing,Science,Sports,fold
fL8IqbB5haFSy2gk,"كشف مسؤول رياضي مصري أن الميدالية الذهبية التي أحرزها المصري محمود جاب الله في منافسات الجودو ضمن الدورة العربية الـ12 المقامة في قطر حتى 23 من الشهر الجاري، ستسحب وأنه يواجه عقوبة الإيقاف لمدة عامين.
وقال رئيس اللجنة الأولمبية المصرية محمود أحمد علي اليوم إنه ""بصرف النظر عن نتيجة العينة الثانية من فحص المنشطات، والتي ستكون قطعا إيجابية كما الأولى، فإنه سيتم سحب الميدالية الذهبية من الرياضي، كما سيعاقب للوائح الوكالة الدولية لمكافحة المنشطات وهي الإيقاف لمدة سنتين"".
وأضاف في تصريح لوكالة الصحافة الفرنسية أنه ""سيفتح تحقيق في موضوع اللاعب في مصر، وسيناقش الأمر مع الاتحاد المصري للجودو"".
وأشار إلى أن اللجنة الأولمبية المصرية ""نبهت جميع الاتحادات المشاركة في الألعاب العربية بإجراء فحوصات المنشطات على الرياضيين المشاركين قبل الحضور إلى الدوحة حتى تكون المشاركة بعيدة تماما عن المنشطات"".
وكان جاب الله فاز بذهبية مسابقة وزن دون 100 كلغ، ونال الكويتي يوسف العنزي الفضية، وكل من المغربي عادل فكري والجزائري ياسين مسكين البرونزية.
تغطية خاصة كمال الأجسام
وكانت قضية المنشطات طرقت باب الدورة مبكرا مع منافسات كمال الأجسام، خصوصا فيما يتعلق بخضوع الرياضيين المصريين والقطريين للكشوف المطلوبة والتي ما تزال عالقة حتى الآن.
وأقيمت منافسات اللعبة ليوم واحد في العاشر من الشهر الجاري ونالت فيها قطر أربع ذهبيات، مقابل ثلاث لمصر، وواحدة للأردن.
وغادر أبطال مصر بعد المسابقة مباشرة إلى القاهرة مما أذكى التكهنات بشأن تهربهم من الخضوع للكشف عن المنشطات، لكن نائبة رئيس البعثة المصرية ميرفت حسنين نفت ذلك جملة وتفصيلا معتبرة أنه ""لم يطلب أحد من رياضيينا الخضوع للكشف"".
وترددت أنباء عن فتح الباب حتى نهاية الدورة لعودة المشاركين في هذه المسابقة للخضوع للكشف قبل البت نهائيا في مسألة الميداليات التي حصلوا عليها.",1,G-7,NO_POLITICS,NO_HEALTH,NO_SCIENCE,SP-3,4
Jivkt5fbyLOBsaQd,"أشاد وزير الدولة للشؤون الخارجية لدولة قطر، سلطان بن سعد سلطان المريخي، بموقف الجزائر الذي وصفه بالمشرف من أزمة قطع العلاقات مع قطر، مشيرا إلى أنها أول بلد دعا إلى الحوار.
ونقلت وكالة الأنباء الجزائرية عن المريخي قوله إن الجزائر باعتبارها ""بلدا كبيرا في العالم الإسلامي، ونظرا لتأثيرها في المنطقة، يمكنها أن تلعب دورا في العلاقات العربية العربية""، مضيفا أن بلاده تتفق مع الجزائر في الدعوة للحوار كحل للأزمة.
إقرأ المزيد
وكان الوزير القطري الذي التقى خلال زيارته إلى الجزائر بوزير الشؤون الخارجية عبد القادر مساهل، قد صرح بأنه أثار عدة مواضيع، من بينها مستجدات الأزمة الخليجية، وزيادة توطيد العلاقات الثنائية بين البلدين.
واتخذت الجزائر موقفا محايدا من طرفي الأزمة الخليجية، وأصدرت وزارة خارجيتها بيانا عند إعلان السعودية ومصر والإمارات والبحرين قطع العلاقات مع قطر، دعت فيه إلى ""ضرورة التزام مبدأ حسن الجوار وعدم التدخل في الشؤون الداخلية للدول واحترام سيادتها الوطنية في جميع الظروف""، مشيرة إلى أنها ""واثقة بأن الصعوبات الحالية ظرفية وأن الحكمة والتحفظ سيسودان في النهاية"".
من جهة أخرى، التقى وزير الشؤون الخارجية الجزائري في العاصمة الجزائرية أمس بالمستشار بوزارة شؤون الرئاسة في الإمارات فارس المزروعي، وبحث معه التطورات الأخيرة في الخليج.
وأفاد بيان لوزارة الخارجية الجزائرية بأن ""الوزير الإماراتي قام بمناسبة هذه المحادثات بتقييم آخر التطورات في منطقة الخليج""، في حين أعاد وزير الخارجية الجزائري التذكير بموقف بلاده ""منذ اندلاع هذه الأزمة وضرورة تسوية الخلافات والنزاعات التي يمكن أن تظهر بين بلدان شقيقة وجارة عن طريق الحوار"".
المصدر: وكالات
محمد الطاهر",1,G-8,PC-1,NO_HEALTH,NO_SCIENCE,NO_SPORTS,2
3m9k8ipWupvzY9VG,"بدأ نجوم السينما والتلفزيون وضيوف الحفل السنوي لجوائز أكاديمية السينما والتلفزيون البريطانية (بافتا) في التوافد إلى قاعة البرت هول وسط العاصمة البريطانية لندن.
وكان من أوائل النجوم الذين وصلوا مبكرا وساروا على السجادة الحمراء: لوسي بوينتن وأيمي أدامز وجوزيف فَينيس ودرموت أو ليري ولورا وايتمور وإيديث بومان.
كما وصل لاحقا لحضور الحفل دوق ودوقة كيمبرج، الأمير ويليام وزوجته كيت.
ويتصدر فيلم ""ذا فيفوريت"" (صاحبة الحظوة) للمخرج اليوناني يورغوس لاثيموس قائمة الأفلام المرشحة، بالترشح لـ 12 جائزة.
وتلته أفلام ""بوهيميان رابسودي"" و""مولد نجم"" و""روما"" و ""الرجل الأول"" بسبعة ترشيحات لكل واحد منهم.
ويعد فيلم ""صاحبة الحظوة"" من أفلام الدراما التاريخية الكوميدية، إذ تدور أحداثه في انجلترا في بدايات القرن الثامن عشر مع اعتلاء الملكة آن العرش وتمكن صديقتها في الطفولة، دوقة مارلبورو سارة تشرشل، من أن تصبح صاحبة الحظوة (ذا فيفوريت) لديها وموضع ثقتها ما يمنحها نفوذا كبيرا وتدخلا في حكم البلاد، لكن مجيئ إبنة عم لها تدعى أبيغيل لتعمل خادمة في القصر يقلب هذه الموازنة لاحقا.
ويشير مصطلح ""ذا فيفوريت""(صاحب الحظوة) في اللغة الإنجليزية إلى الشخص المقرب من الحاكم أو من شخص صاحب نفوذ، وفي أعراف أنظمة الحكم الملكية في أوروبا في القرنين السابع عشر والثامن عشر كان الحاكم يعطي لمثل هؤلاء الأشخاص دورا سياسيا مهما.
ومثل أدوار الفيلم كل من الممثلة البريطانية أوليفيا كولمان بدور الملكة آن وإيما ستون بدور أبيغيل وريتشل وايز بدور سارة تشرشل.
و للسنة الثانية على التوالي، تقدم الحفل الممثلة البريطانية جوانا لاملي.
مع هذا الخبر نصل إلى ختام تغطيتنا في الصفحة المباشرة التي تجدون فيها أدناه أخر تطورات الأخبار التي غطيناها اليوم. نعود ونلقاكم غداً. ابقوا على اطلاع على تطورات الأحداث عبر موقعناbbcarabic.com
AFP Copyright: AFP عارضة الأزياء الألمانية بربارا مايا كانت ممن بكروا في الحضور Image caption: عارضة الأزياء الألمانية بربارا مايا كانت ممن بكروا في الحضور
Reuters Copyright: Reuters الممثلة الأمريكية إيمي آدامز تقف أمام المصورين قبيل الحفل Image caption: الممثلة الأمريكية إيمي آدامز تقف أمام المصورين قبيل الحفل",1,G-7,PC-1,NO_HEALTH,NO_SCIENCE,SP-2,4
kIuSWafG6YlQSoiA,"ونقلت فرانس برس عن إنفانتينو قوله نحن في مرحلة اختبارية ويجب أن تخضع للتمحيص، لكن تقنية المساعدة بالفيديو قادرة على توفير تدخل بالحد الأدنى يعود بفائدة الحد الأقصى
واختبرت هذه التقنية للمرة الأولى في مونديال الأندية الذي اختتم في اليابان خلال ديسمبر الجاري، واحتسبت اعتمادا عليها ركلة جزاء في مباراة كاشيما أنتلر وأتليتيكو ناسيونا.
ويدافع إنفانتينو عن استخدام تقنية الفيديو، ويرغب في اعتمادها في كأس العالم 2018 المقرر إقامته في روسيا.ويلجأ الحكام إلى تقنية الفيديو لمساعدتهم في اتخاذ بعض القرارات المهمة مثل ركلات الجزاء والبطاقات الحمراء المباشرة والخطأ في تحديد هوية اللاعبين.",0,G-2,NO_POLITICS,NO_HEALTH,NO_SCIENCE,SP-2,0
L1tA6JMVJ7fbMGKm,"اعلنت وزارة الداخلية القطرية، الأربعاء، أن التحقيقات الأولية كشفت عن مصادر قرصنة الموقع الإلكتروني لوكالة الأنباء القطرية “قنا” والحسابات التابعة لها على مواقع التواصل الاجتماعي.
لكن الوزارة تحفظت عن نشر أسماء تلك المصادر لغايات متعلقة بالتحقيق. ‏وأكدت، في بيان، أن فريق التحقيق كشف استخدام تقنيات عالية وأساليب مبتكرة في عملية القرصنة، عبر استغلال ثغرة إلكترونية على الموقع الإلكتروني لوكالة الأنباء القطرية.
وأضاف البيان أن فريق التحقيق تمكن من تحديد المصادر، التي تم بواسطتها القيام بجريمة القرصنة، وأن الفرز والتحليل جاريان حاليا لتحديد الأدلة الإلكترونية، بما يضمن القيام بالملاحقة القانونية والقضائية لمرتكبي الجريمة.
كما أكد الفريق أن عملية تثبيت ملف الاختراق تمت في شهر أبريل/نيسان الماضي، والذي جرى استغلاله لاحقا في نشر الأخبار المفبركة بتاريخ 2017/5/24 عند الساعة 12:13 صباحا.
وأكدت وزارة الداخلية أن عرض جميع نتائج التحقيق سيتم في مؤتمر صحافي لوزارة الداخلية فور انتهاء الفريق من كامل عملية التحقيق.
وقالت إن تعاونا مثمرا مع مكتب التحقيقات الفدرالي الأمريكي (FBI) والوكالة الوطنية لمكافحة الجريمة البريطانية (NCA) أفضى إلى هذه النتائج.",1,G-4,PC-1,NO_HEALTH,SC-3,NO_SPORTS,1
fuE4Gyn5Cum2cFYL,"بلغ منتخب مصر ثمن نهائي بطولة العالم لكرة اليد المقامة حاليا في فرنسا، عقب فوزه على الأرجنتين، بنتيجة (31-26)، في اللقاء الذي جمعهما ضمن منافسات المجموعة الرابعة.
وفرض المنتخب المصري سيطرته على نظيره الأرجنتين على مدار شوطي المباراة، التي جرت بينهما، الأربعاء 18 يناير/كانون الثاني، فأنهى الأول بنتيجة (13-10) والثاني (18-16)، ليرتقي إلى المركز الثالث في المجموعة الرابعة برصيد ست نقاط، ويضمن بذلك تأهله إلى الدور المقبل.
وفازت الدنمارك على البحرين (30-26)، لترفع رصيدها إلى 8 نقاط في صدارة المجموعة الرابعة، وبقيت البحرين من دون رصيد، بعدما تلقت خسارتها الرابعة على التوالي، لتودع البطولة.
وتعرض المنتخب السعودي الذي ينافس في المجموعة الثالثة، لخسارته الرابعة كذلك، وكانت أمام المنتخب المجري بنتيجة (37-24)، ليخرج بدوره من الدور الأول للبطولة.
2 days left before the end of the group phase
⬇️Here's a recap of today games ⬇️#Handball2017#PhenomenalHandballpic.twitter.com/Hq5R5QsNtT — France Handball 2017 (@Hand2017) 18 января 2017 г.
وكانت قطر -وصيفة نسخة 2015- قد ضمنت تأهلها إلى الدور ثمن النهائي، بعدما رفعت رصيدها إلى 4 نقاط في المجموعة الرابعة.
المصدر: وكالات
عمر بيكضاض",1,NO_GEOGRAPHY,NO_POLITICS,NO_HEALTH,NO_SCIENCE,SP-3,3
09nrYHgM5KVDGaVV,"وقال فاتسكه في حواره مع مجلة سبورت بيلد لن نقوم أبدا بإقالة يورغن كلوب مضيفا لقد حقق العديد من الإنجازات مع النادي
ويقبع دورتموند حاليا في المركز قبل الأخير في ترتيب الدوري الألماني، بعد أن خسر 10 من مبارياته ال 17 في الدور الأول من المسابقة.
ونجح كلوب 47 عاما منذ تولى قيادة دورتموند عام 2008 في الفوز ببطولة الدوري عامي 2011 و2012، كما استطاع الوصول للمباراة النهائية لدوري أبطال أوروبا عام 2013 قبل أن يخسر اللقب أمام غريمه بايرن ميونخ.
وعلى الرغم من تسجيل دورتموند لأسوأ سجل له على الإطلاق في الدور الأول من بطولة الدوري الألماني، إلا أنه تمكن من تحقيق النجاح أوروبيا ببلوغه دور ثمن النهائي، وفي انتظار مواجهة يوفنتوس الإيطالي.",0,G-9,NO_POLITICS,NO_HEALTH,NO_SCIENCE,SP-2,3
TGUDWFgF6cW1GC7d,"بكين، الصين (CNN) -- بعد أسابيع على بحث توسيع التعاون في القطاع المصرفي والسماح بفتح فروع للمصارف الإسلامية القطرية في الصين، وقّعت قطر، بحضور أميرها الشيخ تميم بن حمد، على اتفاقية لتأسيس صندوق استثماري مشترك مع الصين بقيمة عشرة مليارات دولار.
وقالت وكالة الأنباء القطرية إن الشيخ تميم، الموجود في بكين لزيارة رسمية، شهد الثلاثاء توقيع مذكرة تفاهم بين جهاز قطر للاستثمار ومجموعة سيتيك الصينية، وتنص الاتفاقية والبالغة 10 مليارات دولار على الاستثمار مناصفة في الصين بعدة قطاعات كالبنية التحتية والمرافق والصحة والطاقة والعقارات والتجزئة وغيرها.
وسبق ذلك بساعات قيام البلدين بتوقيع عدة اتفاقيات ومذكرات تفاهم بسأن ""دفع التعاون القطري الصيني في بناء الحزام الاقتصادي لطريق الحرير وطريق الحرير البحري للربط بين آسيا وأوروبا"" إلى جانب التعاون بين المصرفين المركزيين في قطر والصين لإنشاء مركز متخصص في مقاصة وتسوية عملة اليوان الصيني في الدوحة وإنشاء خط ثنائي الاتجاه لمبادلة العملة بقيمة 35 مليار يوان صيني على مدى ثلاث سنوات (قرابة 5.7 مليارات دولار) لتسهل أعمال التجارة والاستثمار باليوان.
وكانت الدوحة، التي تخطط لدخول سوق التمويل الإسلامي في آسيا الوسطى عبر بوابة طاجيكستان كما جرى الإعلان عنه مؤخرا، قد أرسلت بنهاية سبتمبر/أيلول الماضي وفدا من المصارف الإسلامية المحلية إلى الصين لبحث إمكانية التوسع نحو السوق الصينية الهائلة الحجم. وتركز البحث على بدء الاجراءات الفعلية لافتتاح فروع للمصارف الإسلامية ومنافذ لها بالمدن الصينية، خاصة التي تتضمن أغلبية مسلمة.
ووصلت قيمة التبادل التجاري بين البلدين إلى 11.5 مليار دولار في عام 2013 مرتفعا بنحو 24.2 بالمائة عما كان عليه في عام 2012، حيث سجلت الصادرات القطرية 8.8 مليار دولار، في حين سجلت الواردات القطرية من الصين 2.7 مليار دولار.",1,G-2,NO_POLITICS,NO_HEALTH,SC-1,NO_SPORTS,1
Vfq4Qo5qtEJxTWFj,"إيران تقول إنها تحتاج إلى أربعين مليار دولار أخرى لتطوير حقل جنوب فارس بشكل كامل (الأوروبية-أرشيف)
أكد مسؤول إيراني اليوم الأحد أن بلاده تعتزم إصدار سندات بقيمة خمسة مليارات يورو (سبعة مليارات دولار) للمساعدة في تمويل عملية تطوير حقل غاز فارس الجنوبي العملاق. أكد مسؤول إيراني اليوم الأحد أن بلاده تعتزم إصدار سندات بقيمة خمسة مليارات يورو (سبعة مليارات دولار) للمساعدة في تمويل عملية تطوير حقل غاز فارس الجنوبي العملاق.
وقال رئيس شركة فارس للنفط والغاز علي وكيلي ""سنصدر قريبا سندات دولية بقيمة خمسة مليارات يورو, على شرائح بقيمة 500 مليون يورو (683 مليون دولار) لكل منها لتطوير الحقل الذي تتقاسمه إيران مع قطر"".
وأضاف -وفقا لوكالة مهر للأنباء الإيرانية شبه الرسمية- أن العقوبات لن تشكل عائقا أمام تمويل تطوير حقل فارس الجنوبي وأنه ""بنهاية السنة الفارسية الحالية في مارس/آذار ستستثمر إيران حوالي 13 مليار دولار في المراحل المختلفة لتطوير الحقل.
ويواجه تطوير حقل جنوب فارس عوائق بسبب نقص الاستثمار والتكنولوجيا وانسحاب الشركات الغربية أو تأخير التزاماتها بعد فرض الأمم المتحدة والولايات المتحدة وكذلك الاتحاد الأوروبي عقوبات على طهران بسبب برنامجها النووي.
وأكد وزير النفط الإيراني مسعود مير كاظمي في مايو/أيار الماضي أن بلاده تحتاج لاستثمارات بنحو 25 مليار دولار سنويا في قطاع النفط والغاز وأنها قد تتحول إلى بلد مستورد للنفط بسبب نقص تلك الأموال. prefix = ""o"" ns = ""urn:schemas-microsoft-com:office:office"" /
واستثمرت إيران في السنوات الثلاث عشرة الماضية ثلاثين مليار دولار في حقل جنوب فارس -الذي تشترك فيه مع دولة قطر- لكنها تحتاج إلى أربعين مليار دولار أخرى لتطويره بشكل كامل.
وتأمل أن يدر حقل فارس الجنوبي بعد اكتمال تطويره حوالي 100 مليار دولار عائدات سنوية.",0,G-5,NO_POLITICS,NO_HEALTH,SC-1,NO_SPORTS,3
ulqeQ0K8KEpgYJ9Z,"وأمام متاجر تبيع أقنعة تشكلت صفوف طويلة، وقال محمد كامل الذي يدير متجرا إنه اعتاد بيع حوالي أقنعة في المتوسط في الأسبوع، لكن الآن يستقبل ما بين 150 و200 عميل يوميا.
وأضاف انتهى مخزوننا لكننا نأخذ طلبات شراء وسنوفر الأقنعة للجميع
وغطى ضباب رمادي من الدخان والرماد وغيرهما من الملوثات، شوارع نيودلهي، واشتكى السكان من صعوبة التنفس والتهاب العيون والسعال المتزايد.
وظلت مستويات جسيمات بي إم 2.5 وهي جسيمات دقيقة تتوغل في الرئتين، أعلى من 700 في المناطق الأسوأ تضررا من المدينة، وهذا المستوى يساوي 30 مرة تقريبا المستوى الإرشادي الذي حددته منظمة الصحة العالمية عند 25 ميكروغراما لكل متر مكعب في المتوسط خلال 24 ساعة.
وتقول المنظمة إن تلوث الهواء في الأماكن المفتوحة تسبب في وفاة 3.7 مليون شخص على مستوى العالم في 2012.
وتسبب مزيج من الدخان الناجم عن إحراق مخلفات الحقول في الولايات المحيطة بنيودلهي، والألعاب النارية التي أطلقت في مهرجان ديوالي الهندوسي، والغبار الناجم عن أعمال البناء، وعوادم السيارات، في رفع التلوث لأعلى مستوياته منذ 17 عاما.
وقال أحد الوزراء، الاثنين، إن حكومة العاصمة تدرس إعادة العمل ببرنامج لتقنين استخدام السيارات، فيما ظل تلوث الهواء للأسبوع الثاني على التوالي أعلى بمرات من المستويات التي تعد آمنة.",0,G-11,NO_POLITICS,H-1,NO_SCIENCE,NO_SPORTS,4
